task_id,x,y,priority,strategy,scenario,seed
task_001,6.000,-4.000,1,big_mrta,robot_failure,1
task_002,0.000,7.000,2,big_mrta,robot_failure,1
task_003,6.000,6.000,1,big_mrta,robot_failure,1
task_004,-2.000,7.000,2,big_mrta,robot_failure,1
task_005,4.000,-6.000,1,big_mrta,robot_failure,1
task_006,3.000,-2.000,1,big_mrta,robot_failure,1
task_007,-6.000,6.000,2,big_mrta,robot_failure,1
task_008,1.000,6.000,3,big_mrta,robot_failure,1
task_009,-6.000,1.500,3,big_mrta,robot_failure,1
task_010,-4.000,6.000,1,big_mrta,robot_failure,1
task_011,-3.000,-2.000,2,big_mrta,robot_failure,1
task_012,5.000,0.000,3,big_mrta,robot_failure,1
task_013,1.000,-6.000,2,big_mrta,robot_failure,1
task_014,-6.000,-1.500,3,big_mrta,robot_failure,1
task_015,-6.000,-4.000,3,big_mrta,robot_failure,1
task_016,4.000,0.000,1,big_mrta,robot_failure,1
task_017,4.000,6.000,3,big_mrta,robot_failure,1
task_018,-6.000,-6.000,3,big_mrta,robot_failure,1
task_019,6.000,1.500,2,big_mrta,robot_failure,1
task_020,6.000,-6.000,2,big_mrta,robot_failure,1
task_021,0.000,-7.000,3,big_mrta,robot_failure,1
task_022,0.000,2.000,3,big_mrta,robot_failure,1
task_023,6.000,-1.500,1,big_mrta,robot_failure,1
task_024,-4.000,-6.000,3,big_mrta,robot_failure,1
task_025,-5.000,0.000,3,big_mrta,robot_failure,1
