task_id,x,y,priority,strategy,scenario,seed
task_001,6.000,7.000,1,rostam_ea,robot_failure,2
task_002,-1.000,6.000,1,rostam_ea,robot_failure,2
task_003,4.000,-6.000,2,rostam_ea,robot_failure,2
task_004,1.000,6.000,1,rostam_ea,robot_failure,2
task_005,5.000,-2.000,2,rostam_ea,robot_failure,2
task_006,6.000,1.500,3,rostam_ea,robot_failure,2
task_007,-1.000,-6.000,2,rostam_ea,robot_failure,2
task_008,0.000,-7.000,1,rostam_ea,robot_failure,2
task_009,3.000,2.000,2,rostam_ea,robot_failure,2
task_010,0.000,-2.000,1,rostam_ea,robot_failure,2
task_011,6.000,-4.000,1,rostam_ea,robot_failure,2
task_012,-6.000,-4.000,3,rostam_ea,robot_failure,2
task_013,-2.000,-4.000,3,rostam_ea,robot_failure,2
task_014,-4.000,6.000,2,rostam_ea,robot_failure,2
task_015,-6.000,-1.500,2,rostam_ea,robot_failure,2
task_016,2.000,-4.000,2,rostam_ea,robot_failure,2
task_017,6.000,-1.500,3,rostam_ea,robot_failure,2
task_018,-5.000,-2.000,1,rostam_ea,robot_failure,2
task_019,-6.000,7.000,3,rostam_ea,robot_failure,2
task_020,-2.000,7.000,3,rostam_ea,robot_failure,2
task_021,0.000,6.000,2,rostam_ea,robot_failure,2
task_022,3.000,-2.000,3,rostam_ea,robot_failure,2
task_023,0.000,2.000,1,rostam_ea,robot_failure,2
task_024,-6.000,1.500,1,rostam_ea,robot_failure,2
task_025,6.000,6.000,2,rostam_ea,robot_failure,2
