task_id,x,y,priority,strategy,scenario,seed
task_001,1.000,-6.000,3,ahe_mrta_v3,robot_failure,14
task_002,-3.000,-2.000,1,ahe_mrta_v3,robot_failure,14
task_003,6.000,-1.500,3,ahe_mrta_v3,robot_failure,14
task_004,0.000,-7.000,2,ahe_mrta_v3,robot_failure,14
task_005,1.000,6.000,1,ahe_mrta_v3,robot_failure,14
task_006,0.000,-2.000,2,ahe_mrta_v3,robot_failure,14
task_007,-4.000,-6.000,3,ahe_mrta_v3,robot_failure,14
task_008,-2.000,-4.000,3,ahe_mrta_v3,robot_failure,14
task_009,-2.000,7.000,1,ahe_mrta_v3,robot_failure,14
task_010,-6.000,7.000,2,ahe_mrta_v3,robot_failure,14
task_011,0.000,7.000,2,ahe_mrta_v3,robot_failure,14
task_012,0.000,-6.000,2,ahe_mrta_v3,robot_failure,14
task_013,-3.000,2.000,3,ahe_mrta_v3,robot_failure,14
task_014,-6.000,-4.000,3,ahe_mrta_v3,robot_failure,14
task_015,2.000,-4.000,1,ahe_mrta_v3,robot_failure,14
task_016,-6.000,6.000,3,ahe_mrta_v3,robot_failure,14
task_017,4.000,-6.000,1,ahe_mrta_v3,robot_failure,14
task_018,-1.000,-6.000,2,ahe_mrta_v3,robot_failure,14
task_019,5.000,0.000,1,ahe_mrta_v3,robot_failure,14
task_020,4.000,0.000,1,ahe_mrta_v3,robot_failure,14
task_021,6.000,6.000,3,ahe_mrta_v3,robot_failure,14
task_022,4.000,6.000,3,ahe_mrta_v3,robot_failure,14
task_023,-1.000,6.000,2,ahe_mrta_v3,robot_failure,14
task_024,0.000,6.000,3,ahe_mrta_v3,robot_failure,14
task_025,2.000,7.000,2,ahe_mrta_v3,robot_failure,14
