task_id,x,y,priority,strategy,scenario,seed
task_001,1.000,-6.000,1,rostam_ea,deadline_pressure,6
task_002,4.000,-6.000,1,rostam_ea,deadline_pressure,6
task_003,-4.000,-6.000,3,rostam_ea,deadline_pressure,6
task_004,3.000,-2.000,2,rostam_ea,deadline_pressure,6
task_005,6.000,6.000,2,rostam_ea,deadline_pressure,6
task_006,-6.000,-4.000,1,rostam_ea,deadline_pressure,6
task_007,4.000,6.000,3,rostam_ea,deadline_pressure,6
task_008,-1.000,6.000,3,rostam_ea,deadline_pressure,6
task_009,6.000,7.000,1,rostam_ea,deadline_pressure,6
task_010,0.000,2.000,2,rostam_ea,deadline_pressure,6
task_011,-5.000,2.000,1,rostam_ea,deadline_pressure,6
task_012,-2.000,7.000,1,rostam_ea,deadline_pressure,6
task_013,6.000,-6.000,1,rostam_ea,deadline_pressure,6
task_014,-5.000,0.000,2,rostam_ea,deadline_pressure,6
task_015,-6.000,-6.000,3,rostam_ea,deadline_pressure,6
task_016,0.000,-7.000,3,rostam_ea,deadline_pressure,6
task_017,5.000,-2.000,2,rostam_ea,deadline_pressure,6
task_018,-6.000,-1.500,2,rostam_ea,deadline_pressure,6
task_019,6.000,1.500,3,rostam_ea,deadline_pressure,6
task_020,0.000,-2.000,3,rostam_ea,deadline_pressure,6
task_021,2.000,7.000,2,rostam_ea,deadline_pressure,6
task_022,6.000,-1.500,1,rostam_ea,deadline_pressure,6
task_023,-6.000,1.500,3,rostam_ea,deadline_pressure,6
task_024,-3.000,2.000,1,rostam_ea,deadline_pressure,6
task_025,6.000,-4.000,3,rostam_ea,deadline_pressure,6
